geo_name,year,gdp_estimate
la_2002,2002,2.2
la_2003,2003,3.4
la_2004,2004,2.7
la_2005,2005,2.6
la_2006,2006,4.0
la_2007,2007,1.8
la_2008,2008,2.6
la_2009,2009,-4.4
la_2010,2010,2.6
la_2011,2011,2.1
la_2012,2012,1.4
